Date,Hr_End,RT_Demand,Dry_Bulb,Dew_Point,Dry_BulbSQ,Dew_PointSQ,Dry_BulbCube,Dew_PointCube
1/1/21,1,"1,142.19",26,18,676,324,17576,5832
1/1/21,2,"1,096.23",27,17,729,289,19683,4913
1/1/21,3,"1,069.37",27,18,729,324,19683,5832
1/1/21,4,"1,067.58",28,18,784,324,21952,5832
1/1/21,5,"1,072.91",25,17,625,289,15625,4913
1/1/21,6,"1,111.41",27,17,729,289,19683,4913
1/1/21,7,"1,163.58",23,15,529,225,12167,3375
1/1/21,8,"1,213.13",23,16,529,256,12167,4096
1/1/21,9,"1,261.56",22,15,484,225,10648,3375
1/1/21,10,"1,293.95",28,18,784,324,21952,5832
1/1/21,11,"1,311.29",31,17,961,289,29791,4913
1/1/21,12,"1,315.13",33,17,1089,289,35937,4913
1/1/21,13,"1,321.46",34,17,1156,289,39304,4913
1/1/21,14,"1,324.31",35,17,1225,289,42875,4913
1/1/21,15,"1,332.19",35,17,1225,289,42875,4913
1/1/21,16,"1,366.57",35,17,1225,289,42875,4913
1/1/21,17,"1,473.54",33,17,1089,289,35937,4913
1/1/21,18,"1,553.65",31,17,961,289,29791,4913
1/1/21,19,"1,521.12",31,18,961,324,29791,5832
1/1/21,20,"1,454.77",31,19,961,361,29791,6859
1/1/21,21,"1,386.24",31,19,961,361,29791,6859
1/1/21,22,"1,305.49",31,19,961,361,29791,6859
1/1/21,23,"1,214.32",31,19,961,361,29791,6859
1/1/21,24,"1,147.28",31,19,961,361,29791,6859
1/2/21,1,"1,091.63",28,25,784,625,21952,15625
1/2/21,2,"1,048.30",28,26,784,676,21952,17576
1/2/21,3,"1,027.49",29,26,841,676,24389,17576
1/2/21,4,"1,017.94",29,26,841,676,24389,17576
1/2/21,5,"1,024.98",30,28,900,784,27000,21952
1/2/21,6,"1,060.95",32,29,1024,841,32768,24389
1/2/21,7,"1,118.09",33,30,1089,900,35937,27000
1/2/21,8,"1,174.20",33,31,1089,961,35937,29791
1/2/21,9,"1,260.48",33,31,1089,961,35937,29791
1/2/21,10,"1,346.05",33,31,1089,961,35937,29791
1/2/21,11,"1,388.27",33,31,1089,961,35937,29791
1/2/21,12,"1,407.34",33,31,1089,961,35937,29791
1/2/21,13,"1,390.72",33,31,1089,961,35937,29791
1/2/21,14,"1,366.11",34,32,1156,1024,39304,32768
1/2/21,15,"1,346.63",35,32,1225,1024,42875,32768
1/2/21,16,"1,362.86",38,33,1444,1089,54872,35937
1/2/21,17,"1,463.25",37,30,1369,900,50653,27000
1/2/21,18,"1,551.10",36,28,1296,784,46656,21952
1/2/21,19,"1,520.72",35,27,1225,729,42875,19683
1/2/21,20,"1,461.44",34,26,1156,676,39304,17576
1/2/21,21,"1,394.38",32,24,1024,576,32768,13824
1/2/21,22,"1,321.04",31,22,961,484,29791,10648
1/2/21,23,"1,233.91",29,21,841,441,24389,9261
1/2/21,24,"1,155.19",29,21,841,441,24389,9261
1/3/21,1,"1,097.15",28,21,784,441,21952,9261
1/3/21,2,"1,063.76",27,21,729,441,19683,9261
1/3/21,3,"1,049.38",24,21,576,441,13824,9261
1/3/21,4,"1,046.41",22,19,484,361,10648,6859
1/3/21,5,"1,061.99",21,18,441,324,9261,5832
1/3/21,6,"1,102.23",20,18,400,324,8000,5832
1/3/21,7,"1,155.22",20,17,400,289,8000,4913
1/3/21,8,"1,219.01",20,17,400,289,8000,4913
1/3/21,9,"1,298.90",24,22,576,484,13824,10648
1/3/21,10,"1,367.79",25,22,625,484,15625,10648
1/3/21,11,"1,412.35",27,23,729,529,19683,12167
1/3/21,12,"1,444.77",29,24,841,576,24389,13824
1/3/21,13,"1,457.88",30,23,900,529,27000,12167
1/3/21,14,"1,451.91",31,23,961,529,29791,12167
1/3/21,15,"1,444.53",31,23,961,529,29791,12167
1/3/21,16,"1,461.47",31,24,961,576,29791,13824
1/3/21,17,"1,557.63",31,24,961,576,29791,13824
1/3/21,18,"1,619.84",31,24,961,576,29791,13824
1/3/21,19,"1,577.67",30,24,900,576,27000,13824
1/3/21,20,"1,505.20",29,26,841,676,24389,17576
1/3/21,21,"1,424.05",29,25,841,625,24389,15625
1/3/21,22,"1,320.74",29,25,841,625,24389,15625
1/3/21,23,"1,216.58",29,24,841,576,24389,13824
1/3/21,24,"1,130.25",29,25,841,625,24389,15625
1/4/21,1,"1,081.80",28,25,784,625,21952,15625
1/4/21,2,"1,053.13",28,25,784,625,21952,15625
1/4/21,3,"1,042.36",28,25,784,625,21952,15625
1/4/21,4,"1,049.44",27,24,729,576,19683,13824
1/4/21,5,"1,086.86",27,24,729,576,19683,13824
1/4/21,6,"1,186.65",28,25,784,625,21952,15625
1/4/21,7,"1,318.44",28,25,784,625,21952,15625
1/4/21,8,"1,428.93",27,24,729,576,19683,13824
1/4/21,9,"1,479.33",28,24,784,576,21952,13824
1/4/21,10,"1,490.15",29,25,841,625,24389,15625
1/4/21,11,"1,489.43",33,25,1089,625,35937,15625
1/4/21,12,"1,483.12",35,25,1225,625,42875,15625
1/4/21,13,"1,469.88",35,26,1225,676,42875,17576
1/4/21,14,"1,455.77",37,26,1369,676,50653,17576
1/4/21,15,"1,442.65",37,27,1369,729,50653,19683
1/4/21,16,"1,451.14",38,26,1444,676,54872,17576
1/4/21,17,"1,540.05",36,26,1296,676,46656,17576
1/4/21,18,"1,648.89",32,25,1024,625,32768,15625
1/4/21,19,"1,625.26",29,23,841,529,24389,12167
1/4/21,20,"1,554.39",28,23,784,529,21952,12167
1/4/21,21,"1,468.71",27,24,729,576,19683,13824
1/4/21,22,"1,364.91",27,23,729,529,19683,12167
1/4/21,23,"1,257.24",28,24,784,576,21952,13824
1/4/21,24,"1,165.76",25,22,625,484,15625,10648
1/5/21,1,"1,108.22",27,24,729,576,19683,13824
1/5/21,2,"1,077.33",28,25,784,625,21952,15625
1/5/21,3,"1,063.11",27,24,729,576,19683,13824
1/5/21,4,"1,067.49",27,24,729,576,19683,13824
1/5/21,5,"1,104.42",28,25,784,625,21952,15625
1/5/21,6,"1,197.30",28,25,784,625,21952,15625
1/5/21,7,"1,333.44",28,24,784,576,21952,13824
1/5/21,8,"1,443.61",29,24,841,576,24389,13824
1/5/21,9,"1,497.90",29,24,841,576,24389,13824
1/5/21,10,"1,516.26",30,24,900,576,27000,13824
1/5/21,11,"1,528.64",31,23,961,529,29791,12167
1/5/21,12,"1,536.19",31,24,961,576,29791,13824
1/5/21,13,"1,528.07",32,24,1024,576,32768,13824
1/5/21,14,"1,521.93",33,24,1089,576,35937,13824
1/5/21,15,"1,509.61",32,24,1024,576,32768,13824
1/5/21,16,"1,517.05",32,25,1024,625,32768,15625
1/5/21,17,"1,601.34",32,25,1024,625,32768,15625
1/5/21,18,"1,683.89",32,26,1024,676,32768,17576
1/5/21,19,"1,653.01",31,26,961,676,29791,17576
1/5/21,20,"1,574.50",30,26,900,676,27000,17576
1/5/21,21,"1,485.03",31,26,961,676,29791,17576
1/5/21,22,"1,374.02",31,26,961,676,29791,17576
1/5/21,23,"1,263.36",31,25,961,625,29791,15625
1/5/21,24,"1,171.71",31,26,961,676,29791,17576
1/6/21,1,"1,109.90",30,27,900,729,27000,19683
1/6/21,2,"1,077.04",30,27,900,729,27000,19683
1/6/21,3,"1,062.89",30,28,900,784,27000,21952
1/6/21,4,"1,068.62",30,27,900,729,27000,19683
1/6/21,5,"1,106.47",30,26,900,676,27000,17576
1/6/21,6,"1,201.59",29,24,841,576,24389,13824
1/6/21,7,"1,338.57",30,24,900,576,27000,13824
1/6/21,8,"1,447.14",29,23,841,529,24389,12167
1/6/21,9,"1,499.43",29,22,841,484,24389,10648
1/6/21,10,"1,514.39",30,21,900,441,27000,9261
1/6/21,11,"1,518.19",31,21,961,441,29791,9261
1/6/21,12,"1,515.71",31,21,961,441,29791,9261
1/6/21,13,"1,502.79",32,22,1024,484,32768,10648
1/6/21,14,"1,492.74",33,22,1089,484,35937,10648
1/6/21,15,"1,488.89",32,21,1024,441,32768,9261
1/6/21,16,"1,505.12",32,20,1024,400,32768,8000
1/6/21,17,"1,588.51",31,20,961,400,29791,8000
1/6/21,18,"1,684.05",30,19,900,361,27000,6859
1/6/21,19,"1,661.44",30,19,900,361,27000,6859
1/6/21,20,"1,599.12",30,18,900,324,27000,5832
1/6/21,21,"1,520.12",29,18,841,324,24389,5832
1/6/21,22,"1,419.70",28,18,784,324,21952,5832
1/6/21,23,"1,310.23",28,16,784,256,21952,4096
1/6/21,24,"1,217.09",27,16,729,256,19683,4096
1/7/21,1,"1,154.59",28,17,784,289,21952,4913
1/7/21,2,"1,119.90",28,17,784,289,21952,4913
1/7/21,3,"1,104.48",29,18,841,324,24389,5832
1/7/21,4,"1,109.92",29,18,841,324,24389,5832
1/7/21,5,"1,149.24",29,18,841,324,24389,5832
1/7/21,6,"1,245.27",27,17,729,289,19683,4913
1/7/21,7,"1,387.26",26,17,676,289,17576,4913
1/7/21,8,"1,493.15",27,17,729,289,19683,4913
1/7/21,9,"1,528.73",27,16,729,256,19683,4096
1/7/21,10,"1,525.27",29,17,841,289,24389,4913
1/7/21,11,"1,505.20",30,16,900,256,27000,4096
1/7/21,12,"1,492.26",32,17,1024,289,32768,4913
1/7/21,13,"1,478.32",34,17,1156,289,39304,4913
1/7/21,14,"1,467.71",35,18,1225,324,42875,5832
1/7/21,15,"1,472.13",34,18,1156,324,39304,5832
1/7/21,16,"1,495.25",33,17,1089,289,35937,4913
1/7/21,17,"1,584.09",32,17,1024,289,32768,4913
1/7/21,18,"1,694.03",30,17,900,289,27000,4913
1/7/21,19,"1,676.99",28,16,784,256,21952,4096
1/7/21,20,"1,617.64",27,16,729,256,19683,4096
1/7/21,21,"1,542.06",27,16,729,256,19683,4096
1/7/21,22,"1,441.51",26,16,676,256,17576,4096
1/7/21,23,"1,336.62",25,16,625,256,15625,4096
1/7/21,24,"1,244.81",25,16,625,256,15625,4096
1/8/21,1,"1,188.99",25,17,625,289,15625,4913
1/8/21,2,"1,157.05",26,17,676,289,17576,4913
1/8/21,3,"1,144.47",25,16,625,256,15625,4096
1/8/21,4,"1,151.17",25,16,625,256,15625,4096
1/8/21,5,"1,191.51",24,16,576,256,13824,4096
1/8/21,6,"1,280.33",24,15,576,225,13824,3375
1/8/21,7,"1,416.08",23,15,529,225,12167,3375
1/8/21,8,"1,523.15",23,15,529,225,12167,3375
1/8/21,9,"1,558.30",23,14,529,196,12167,2744
1/8/21,10,"1,544.63",25,14,625,196,15625,2744
1/8/21,11,"1,522.73",28,14,784,196,21952,2744
1/8/21,12,"1,501.62",30,13,900,169,27000,2197
1/8/21,13,"1,478.59",32,14,1024,196,32768,2744
1/8/21,14,"1,455.18",33,13,1089,169,35937,2197
1/8/21,15,"1,452.13",34,12,1156,144,39304,1728
1/8/21,16,"1,472.21",34,11,1156,121,39304,1331
1/8/21,17,"1,561.86",32,11,1024,121,32768,1331
1/8/21,18,"1,657.80",30,11,900,121,27000,1331
1/8/21,19,"1,641.28",29,12,841,144,24389,1728
1/8/21,20,"1,586.16",28,12,784,144,21952,1728
1/8/21,21,"1,522.98",26,11,676,121,17576,1331
1/8/21,22,"1,437.12",25,11,625,121,15625,1331
1/8/21,23,"1,336.63",25,10,625,100,15625,1000
1/8/21,24,"1,247.63",23,9,529,81,12167,729
1/9/21,1,"1,184.05",22,10,484,100,10648,1000
1/9/21,2,"1,147.46",22,10,484,100,10648,1000
1/9/21,3,"1,131.86",22,10,484,100,10648,1000
1/9/21,4,"1,132.74",21,9,441,81,9261,729
1/9/21,5,"1,151.30",19,9,361,81,6859,729
1/9/21,6,"1,197.50",17,9,289,81,4913,729
1/9/21,7,"1,269.41",18,10,324,100,5832,1000
1/9/21,8,"1,343.59",19,10,361,100,6859,1000
1/9/21,9,"1,411.74",20,10,400,100,8000,1000
1/9/21,10,"1,443.68",23,12,529,144,12167,1728
1/9/21,11,"1,442.48",25,12,625,144,15625,1728
1/9/21,12,"1,439.22",29,14,841,196,24389,2744
1/9/21,13,"1,426.97",32,15,1024,225,32768,3375
1/9/21,14,"1,417.97",32,15,1024,225,32768,3375
1/9/21,15,"1,410.80",32,16,1024,256,32768,4096
1/9/21,16,"1,424.71",32,16,1024,256,32768,4096
1/9/21,17,"1,507.81",33,16,1089,256,35937,4096
1/9/21,18,"1,598.52",29,17,841,289,24389,4913
1/9/21,19,"1,572.75",30,17,900,289,27000,4913
1/9/21,20,"1,512.27",29,17,841,289,24389,4913
1/9/21,21,"1,445.04",30,17,900,289,27000,4913
1/9/21,22,"1,362.28",29,16,841,256,24389,4096
1/9/21,23,"1,274.23",29,14,841,196,24389,2744
1/9/21,24,"1,196.52",28,13,784,169,21952,2197
1/10/21,1,"1,137.12",27,12,729,144,19683,1728
1/10/21,2,"1,102.54",27,13,729,169,19683,2197
1/10/21,3,"1,087.02",26,14,676,196,17576,2744
1/10/21,4,"1,086.45",24,14,576,196,13824,2744
1/10/21,5,"1,099.53",23,14,529,196,12167,2744
1/10/21,6,"1,135.59",23,15,529,225,12167,3375
1/10/21,7,"1,193.15",23,15,529,225,12167,3375
1/10/21,8,"1,256.88",23,15,529,225,12167,3375
1/10/21,9,"1,325.55",24,17,576,289,13824,4913
1/10/21,10,"1,362.96",28,18,784,324,21952,5832
1/10/21,11,"1,366.37",30,17,900,289,27000,4913
1/10/21,12,"1,357.66",32,17,1024,289,32768,4913
1/10/21,13,"1,352.21",36,17,1296,289,46656,4913
1/10/21,14,"1,333.55",37,16,1369,256,50653,4096
1/10/21,15,"1,335.67",38,17,1444,289,54872,4913
1/10/21,16,"1,366.45",37,17,1369,289,50653,4913
1/10/21,17,"1,489.22",36,16,1296,256,46656,4096
1/10/21,18,"1,607.48",32,15,1024,225,32768,3375
1/10/21,19,"1,584.16",30,15,900,225,27000,3375
1/10/21,20,"1,522.77",27,15,729,225,19683,3375
1/10/21,21,"1,450.27",27,15,729,225,19683,3375
1/10/21,22,"1,359.68",22,15,484,225,10648,3375
1/10/21,23,"1,264.28",21,14,441,196,9261,2744
1/10/21,24,"1,195.32",19,13,361,169,6859,2197
1/11/21,1,"1,148.73",16,12,256,144,4096,1728
1/11/21,2,"1,129.69",17,13,289,169,4913,2197
1/11/21,3,"1,127.39",16,12,256,144,4096,1728
1/11/21,4,"1,137.57",13,10,169,100,2197,1000
1/11/21,5,"1,184.39",13,10,169,100,2197,1000
1/11/21,6,"1,289.12",13,8,169,64,2197,512
1/11/21,7,"1,441.75",11,7,121,49,1331,343
1/11/21,8,"1,559.74",12,7,144,49,1728,343
1/11/21,9,"1,598.23",13,9,169,81,2197,729
1/11/21,10,"1,598.66",18,14,324,196,5832,2744
1/11/21,11,"1,594.45",21,16,441,256,9261,4096
1/11/21,12,"1,613.76",25,18,625,324,15625,5832
1/11/21,13,"1,610.40",28,19,784,361,21952,6859
1/11/21,14,"1,602.21",30,17,900,289,27000,4913
1/11/21,15,"1,584.12",32,18,1024,324,32768,5832
1/11/21,16,"1,574.71",32,18,1024,324,32768,5832
1/11/21,17,"1,634.49",31,18,961,324,29791,5832
1/11/21,18,"1,724.38",31,18,961,324,29791,5832
1/11/21,19,"1,688.82",29,19,841,361,24389,6859
1/11/21,20,"1,611.53",28,18,784,324,21952,5832
1/11/21,21,"1,525.20",27,19,729,361,19683,6859
1/11/21,22,"1,416.74",25,18,625,324,15625,5832
1/11/21,23,"1,310.22",22,17,484,289,10648,4913
1/11/21,24,"1,223.18",20,16,400,256,8000,4096
1/12/21,1,"1,166.27",19,15,361,225,6859,3375
1/12/21,2,"1,138.75",17,14,289,196,4913,2744
1/12/21,3,"1,127.48",16,12,256,144,4096,1728
1/12/21,4,"1,130.85",18,15,324,225,5832,3375
1/12/21,5,"1,170.32",20,16,400,256,8000,4096
1/12/21,6,"1,264.30",20,17,400,289,8000,4913
1/12/21,7,"1,405.84",20,15,400,225,8000,3375
1/12/21,8,"1,511.25",18,14,324,196,5832,2744
1/12/21,9,"1,545.85",18,14,324,196,5832,2744
1/12/21,10,"1,526.76",23,20,529,400,12167,8000
1/12/21,11,"1,504.93",28,21,784,441,21952,9261
1/12/21,12,"1,485.36",34,23,1156,529,39304,12167
1/12/21,13,"1,474.15",37,22,1369,484,50653,10648
1/12/21,14,"1,476.71",37,20,1369,400,50653,8000
1/12/21,15,"1,474.92",37,19,1369,361,50653,6859
1/12/21,16,"1,490.93",37,18,1369,324,50653,5832
1/12/21,17,"1,571.58",36,18,1296,324,46656,5832
1/12/21,18,"1,665.02",34,19,1156,361,39304,6859
1/12/21,19,"1,638.75",33,19,1089,361,35937,6859
1/12/21,20,"1,563.98",32,18,1024,324,32768,5832
1/12/21,21,"1,479.47",28,20,784,400,21952,8000
1/12/21,22,"1,374.03",28,21,784,441,21952,9261
1/12/21,23,"1,262.77",29,21,841,441,24389,9261
1/12/21,24,"1,172.87",29,21,841,441,24389,9261
1/13/21,1,"1,117.32",29,22,841,484,24389,10648
