Date,Hr_End,DA_Demand,RT_Demand,Dry_Bulb,Dew_Point,Dry_BulbSQ,Dew_PointSQ,Dry_BulbCube,Dew_PointCube
1/1/22,1,1005.6,1042.18,34,34,1156,1156,39304,39304
1/1/22,2,985.4,994.7,35,34,1225,1156,42875,39304
1/1/22,3,930.9,964.33,35,35,1225,1225,42875,42875
1/1/22,4,912,951.08,35,35,1225,1225,42875,42875
1/1/22,5,917.7,953.03,36,34,1296,1156,46656,39304
1/1/22,6,950.3,978.35,34,34,1156,1156,39304,39304
1/1/22,7,952.9,1021.36,34,34,1156,1156,39304,39304
1/1/22,8,1031.2,1078.34,34,34,1156,1156,39304,39304
1/1/22,9,1109.9,1158.92,34,34,1156,1156,39304,39304
1/1/22,10,1261.3,1249.88,35,34,1225,1156,42875,39304
1/1/22,11,1282,1315.79,35,34,1225,1156,42875,39304
1/1/22,12,1315.2,1353,35,35,1225,1225,42875,42875
1/1/22,13,1267.8,1360.27,36,35,1296,1225,46656,42875
1/1/22,14,1243.4,1348.3,36,36,1296,1296,46656,46656
1/1/22,15,1181.3,1330.43,37,36,1369,1296,50653,46656
1/1/22,16,1229.2,1332.83,37,37,1369,1369,50653,50653
1/1/22,17,1326.9,1408.54,37,37,1369,1369,50653,50653
1/1/22,18,1368.8,1457.18,36,36,1296,1296,46656,46656
1/1/22,19,1319.6,1422.47,37,36,1369,1296,50653,46656
1/1/22,20,1269.2,1360.92,35,35,1225,1225,42875,42875
1/1/22,21,1190.8,1298.43,36,36,1296,1296,46656,46656
1/1/22,22,1095.5,1224.32,35,35,1225,1225,42875,42875
1/1/22,23,1006.7,1133.51,35,35,1225,1225,42875,42875
1/1/22,24,921,1051.69,35,35,1225,1225,42875,42875
1/2/22,1,919.8,990.92,36,36,1296,1296,46656,46656
1/2/22,2,897.7,954.78,35,35,1225,1225,42875,42875
1/2/22,3,874.7,936.82,36,34,1296,1156,46656,39304
1/2/22,4,836.3,930.57,36,36,1296,1296,46656,46656
1/2/22,5,848.5,939.75,35,35,1225,1225,42875,42875
1/2/22,6,861.7,970.53,35,35,1225,1225,42875,42875
1/2/22,7,898.3,1018.27,35,35,1225,1225,42875,42875
1/2/22,8,976.2,1087.48,35,35,1225,1225,42875,42875
1/2/22,9,1062.4,1176.55,35,35,1225,1225,42875,42875
1/2/22,10,1156.8,1256.65,35,35,1225,1225,42875,42875
1/2/22,11,1200.8,1311.7,37,36,1369,1296,50653,46656
1/2/22,12,1220.2,1355.83,37,37,1369,1369,50653,50653
1/2/22,13,1194.6,1378.36,38,38,1444,1444,54872,54872
1/2/22,14,1199.9,1376.28,38,36,1444,1296,54872,46656
1/2/22,15,1192.5,1368.21,37,35,1369,1225,50653,42875
1/2/22,16,1246.4,1372.95,37,34,1369,1156,50653,39304
1/2/22,17,1368.9,1468.15,36,32,1296,1024,46656,32768
1/2/22,18,1494.1,1537.6,35,29,1225,841,42875,24389
1/2/22,19,1410,1511.05,34,28,1156,784,39304,21952
1/2/22,20,1358,1458.95,33,26,1089,676,35937,17576
1/2/22,21,1328.9,1394.06,32,23,1024,529,32768,12167
