Date,Hr_End,DA_Demand,RT_Demand,Dry_Bulb,Dew_Point
1-Jan-20,1,"1,045.20","1,080.18",32,30
1-Jan-20,2,"1,022.00","1,034.73",34,27
1-Jan-20,3,952.7,"1,005.34",34,26
1-Jan-20,4,967.2,"1,000.61",33,24
1-Jan-20,5,961.8,"1,011.07",31,24
1-Jan-20,6,"1,000.60","1,042.09",30,23
1-Jan-20,7,"1,043.50","1,090.27",30,23
1-Jan-20,8,"1,102.10","1,139.19",31,23
1-Jan-20,9,"1,184.70","1,203.33",30,23
1-Jan-20,10,"1,220.80","1,267.09",33,25
1-Jan-20,11,"1,226.60","1,308.22",34,23
1-Jan-20,12,"1,237.10","1,331.34",34,23
1-Jan-20,13,"1,216.30","1,338.32",34,24
1-Jan-20,14,"1,211.80","1,331.02",35,24
1-Jan-20,15,"1,218.10","1,324.32",35,23
1-Jan-20,16,"1,233.00","1,347.74",35,23
1-Jan-20,17,"1,362.00","1,459.06",34,23
1-Jan-20,18,"1,451.10","1,560.05",33,23
1-Jan-20,19,"1,398.40","1,531.83",33,24
1-Jan-20,20,"1,346.90","1,481.87",31,24
1-Jan-20,21,"1,321.30","1,408.93",32,23
1-Jan-20,22,"1,209.30","1,307.77",32,24
1-Jan-20,23,"1,121.70","1,197.83",32,24
1-Jan-20,24,"1,035.40","1,112.27",31,23
2-Jan-20,1,"1,057.50","1,059.88",32,24
2-Jan-20,2,"1,025.40","1,032.36",32,24
2-Jan-20,3,"1,010.60","1,023.11",32,23
2-Jan-20,4,"1,032.40","1,030.63",31,23
2-Jan-20,5,"1,060.50","1,078.75",29,22
2-Jan-20,6,"1,167.70","1,188.47",28,21
2-Jan-20,7,"1,327.20","1,357.77",27,20
2-Jan-20,8,"1,424.40","1,447.71",27,20
2-Jan-20,9,"1,441.20","1,465.09",23,19
2-Jan-20,10,"1,413.40","1,477.28",28,21
2-Jan-20,11,"1,403.50","1,477.67",31,21
2-Jan-20,12,"1,390.30","1,456.17",33,22
2-Jan-20,13,"1,373.10","1,419.93",35,24
2-Jan-20,14,"1,373.10","1,411.66",36,25
2-Jan-20,15,"1,387.50","1,395.02",38,26
2-Jan-20,16,"1,414.20","1,412.95",38,26
2-Jan-20,17,"1,521.60","1,512.67",38,27
2-Jan-20,18,"1,607.60","1,608.10",36,27
2-Jan-20,19,"1,594.70","1,595.05",33,27
2-Jan-20,20,"1,554.30","1,544.42",36,27
2-Jan-20,21,"1,477.20","1,468.79",29,26
2-Jan-20,22,"1,366.50","1,358.57",30,26
2-Jan-20,23,"1,237.50","1,229.05",33,27
2-Jan-20,24,"1,128.20","1,127.62",33,28
