Date,Hr_End,DA_Demand,RT_Demand,Dry_Bulb,Dew_Point,Dry_BulbSQ,Dew_PointSQ
1/1/20,1,1045.2,1080.18,32,30,1024,900
1/1/20,2,1022,1034.73,34,27,1156,729
1/1/20,3,952.7,1005.34,34,26,1156,676
1/1/20,4,967.2,1000.61,33,24,1089,576
1/1/20,5,961.8,1011.07,31,24,961,576
1/1/20,6,1000.6,1042.09,30,23,900,529
1/1/20,7,1043.5,1090.27,30,23,900,529
1/1/20,8,1102.1,1139.19,31,23,961,529
1/1/20,9,1184.7,1203.33,30,23,900,529
1/1/20,10,1220.8,1267.09,33,25,1089,625
1/1/20,11,1226.6,1308.22,34,23,1156,529
1/1/20,12,1237.1,1331.34,34,23,1156,529
1/1/20,13,1216.3,1338.32,34,24,1156,576
1/1/20,14,1211.8,1331.02,35,24,1225,576
1/1/20,15,1218.1,1324.32,35,23,1225,529
1/1/20,16,1233,1347.74,35,23,1225,529
1/1/20,17,1362,1459.06,34,23,1156,529
1/1/20,18,1451.1,1560.05,33,23,1089,529
1/1/20,19,1398.4,1531.83,33,24,1089,576
1/1/20,20,1346.9,1481.87,31,24,961,576
1/1/20,21,1321.3,1408.93,32,23,1024,529
1/1/20,22,1209.3,1307.77,32,24,1024,576
1/1/20,23,1121.7,1197.83,32,24,1024,576
1/1/20,24,1035.4,1112.27,31,23,961,529
1/2/20,1,1057.5,1059.88,32,24,1024,576
1/2/20,2,1025.4,1032.36,32,24,1024,576
1/2/20,3,1010.6,1023.11,32,23,1024,529
1/2/20,4,1032.4,1030.63,31,23,961,529
1/2/20,5,1060.5,1078.75,29,22,841,484
1/2/20,6,1167.7,1188.47,28,21,784,441
1/2/20,7,1327.2,1357.77,27,20,729,400
1/2/20,8,1424.4,1447.71,27,20,729,400
1/2/20,9,1441.2,1465.09,23,19,529,361
1/2/20,10,1413.4,1477.28,28,21,784,441
1/2/20,11,1403.5,1477.67,31,21,961,441
1/2/20,12,1390.3,1456.17,33,22,1089,484
1/2/20,13,1373.1,1419.93,35,24,1225,576
1/2/20,14,1373.1,1411.66,36,25,1296,625
1/2/20,15,1387.5,1395.02,38,26,1444,676
1/2/20,16,1414.2,1412.95,38,26,1444,676
1/2/20,17,1521.6,1512.67,38,27,1444,729
1/2/20,18,1607.6,1608.1,36,27,1296,729
1/2/20,19,1594.7,1595.05,33,27,1089,729
1/2/20,20,1554.3,1544.42,36,27,1296,729
1/2/20,21,1477.2,1468.79,29,26,841,676
1/2/20,22,1366.5,1358.57,30,26,900,676
1/2/20,23,1237.5,1229.05,33,27,1089,729
